Topic|Reference|Text
Faith|Romans 1:17|For therein is the righteousness of God revealed from faith to faith: as it is written, The just shall live by faith.
Faith|Romans 5:1|Therefore being justified by faith, we have peace with God through our Lord Jesus Christ.
Faith|Romans 10:17|So then faith cometh by hearing, and hearing by the word of God.
Faith|1 Corinthians 2:5|That your faith should not stand in the wisdom of men, but in the power of God.
Faith|2 Corinthians 5:7|For we walk by faith, not by sight.
Faith|Galatians 2:16|Knowing that a man is not justified by the works of the law, but by the faith of Jesus Christ.
Faith|Galatians 2:20|I am crucified with Christ: nevertheless I live; yet not I, but Christ liveth in me: and the life which I now live in the flesh I live by the faith of the Son of God.
Faith|Ephesians 2:8|For by grace are ye saved through faith; and that not of yourselves: it is the gift of God.
Faith|Ephesians 6:16|Above all, taking the shield of faith, wherewith ye shall be able to quench all the fiery darts of the wicked.
Faith|Philippians 3:9|And be found in him, not having mine own righteousness, which is of the law, but that which is through the faith of Christ.
Faith|1 Timothy 6:12|Fight the good fight of faith, lay hold on eternal life, whereunto thou art also called.
Faith|Hebrews 11:1|Now faith is the substance of things hoped for, the evidence of things not seen.
Faith|Hebrews 11:6|But without faith it is impossible to please him: for he that cometh to God must believe that he is, and that he is a rewarder of them that diligently seek him.
Faith|Romans 14:22|Hast thou faith? have it to thyself before God. Happy is he that condemneth not himself in that thing which he alloweth.
Faith|1 Corinthians 13:2|And though I have all faith, so that I could remove mountains, and have not charity, I am nothing.
Faith|1 Corinthians 13:13|And now abideth faith, hope, charity, these three; but the greatest of these is charity.
Faith|1 Corinthians 16:13|Watch ye, stand fast in the faith, quit you like men, be strong.
Faith|2 Corinthians 4:13|We having the same spirit of faith, according as it is written, I believed, and therefore have I spoken; we also believe, and therefore speak.
Faith|Galatians 3:2|This only would I learn of you, Received ye the Spirit by the works of the law, or by the hearing of faith?
Faith|Galatians 5:6|For in Jesus Christ neither circumcision availeth any thing, nor uncircumcision; but faith which worketh by love.
Faith|Ephesians 6:23|Peace be to the brethren, and love with faith, from God the Father and the Lord Jesus Christ.
Faith|Philippians 1:27|Only let your conversation be as it becometh the gospel of Christ... that ye stand fast in one spirit, with one mind striving together for the faith of the gospel.
Faith|Colossians 1:4|Since we heard of your faith in Christ Jesus, and of the love which ye have to all the saints.
Faith|Colossians 2:5|For though I be absent in the flesh, yet am I with you in the spirit, joying and beholding your order, and the steadfastness of your faith in Christ.
Faith|1 Thessalonians 1:3|Remembering without ceasing your work of faith, and labour of love, and patience of hope in our Lord Jesus Christ.
Faith|2 Thessalonians 1:4|So that we ourselves glory in you in the churches of God for your patience and faith in all your persecutions and tribulations that ye endure.
Faith|1 Timothy 1:5|Now the end of the commandment is charity out of a pure heart, and of a good conscience, and of faith unfeigned.
Faith|1 Timothy 1:19|Holding faith, and a good conscience; which some having put away concerning faith have made shipwreck.
Faith|1 Timothy 4:12|Let no man despise thy youth; but be thou an example of the believers, in word, in conversation, in charity, in spirit, in faith, in purity.
Faith|2 Timothy 1:5|When I call to remembrance the unfeigned faith that is in thee, which dwelt first in thy grandmother Lois, and thy mother Eunice; and I am persuaded that in thee also.
